,Temperature
1979-01-31,288.263916015625
1979-02-28,289.8699645996094
1979-03-31,286.6824951171875
1979-04-30,296.5652770996094
1979-05-31,298.88568115234375
1979-06-30,302.342529296875
1979-07-31,299.3836975097656
1979-08-31,301.7991943359375
1979-09-30,297.7052001953125
1979-10-31,294.907958984375
1979-11-30,292.538330078125
1979-12-31,281.93408203125
1980-01-31,286.04974365234375
1980-02-29,278.8897705078125
1980-03-31,289.4056091308594
1980-04-30,292.23614501953125
1980-05-31,298.01287841796875
1980-06-30,303.01995849609375
1980-07-31,303.9326477050781
1980-08-31,299.6873779296875
1980-09-30,301.27984619140625
1980-10-31,295.15313720703125
1980-11-30,289.14617919921875
1980-12-31,285.02703857421875
1981-01-31,283.1986389160156
1981-02-28,283.8955078125
1981-03-31,285.9708251953125
1981-04-30,291.7918701171875
1981-05-31,297.274658203125
1981-06-30,302.5258483886719
1981-07-31,299.00531005859375
1981-08-31,300.3389587402344
1981-09-30,301.89794921875
1981-10-31,297.56695556640625
1981-11-30,292.9178161621094
1981-12-31,281.86749267578125
1982-01-31,281.6426696777344
1982-02-28,285.57470703125
1982-03-31,288.299072265625
1982-04-30,291.3656005859375
1982-05-31,296.87054443359375
1982-06-30,299.721435546875
1982-07-31,303.3215637207031
1982-08-31,299.67095947265625
1982-09-30,299.13409423828125
1982-10-31,291.80712890625
1982-11-30,291.6325988769531
1982-12-31,286.81817626953125
1983-01-31,282.24261474609375
1983-02-28,281.7064208984375
1983-03-31,288.92626953125
1983-04-30,286.9103698730469
1983-05-31,296.48486328125
1983-06-30,302.38543701171875
1983-07-31,302.53582763671875
1983-08-31,302.362060546875
1983-09-30,302.28594970703125
1983-10-31,299.8267822265625
1983-11-30,289.63037109375
1983-12-31,284.24249267578125
1984-01-31,279.0494079589844
1984-02-29,281.77569580078125
1984-03-31,284.4792785644531
1984-04-30,294.72186279296875
1984-05-31,292.61480712890625
1984-06-30,301.84527587890625
1984-07-31,301.5167541503906
1984-08-31,300.9165954589844
1984-09-30,299.9046325683594
1984-10-31,292.5509033203125
1984-11-30,285.1254577636719
1984-12-31,283.73394775390625
1985-01-31,282.35369873046875
1985-02-28,280.884765625
1985-03-31,286.7579345703125
1985-04-30,295.0237121582031
1985-05-31,297.408935546875
1985-06-30,302.69744873046875
1985-07-31,302.25103759765625
1985-08-31,300.6783447265625
1985-09-30,301.88629150390625
1985-10-31,294.3650817871094
1985-11-30,287.9949951171875
1985-12-31,284.6285400390625
1986-01-31,281.4764404296875
1986-02-28,279.87738037109375
1986-03-31,286.84033203125
1986-04-30,288.5540771484375
1986-05-31,293.18560791015625
1986-06-30,296.2965393066406
1986-07-31,300.20379638671875
1986-08-31,299.5563049316406
1986-09-30,301.73358154296875
1986-10-31,295.334716796875
1986-11-30,289.732666015625
1986-12-31,285.29742431640625
1987-01-31,281.1722412109375
1987-02-28,285.89923095703125
1987-03-31,285.2532043457031
1987-04-30,292.46490478515625
1987-05-31,296.8893737792969
1987-06-30,302.1173400878906
1987-07-31,305.99407958984375
1987-08-31,304.9608459472656
1987-09-30,301.6477355957031
1987-10-31,297.58966064453125
1987-11-30,288.7095642089844
1987-12-31,282.77667236328125
1988-01-31,279.5869140625
1988-02-29,284.63507080078125
1988-03-31,287.97283935546875
1988-04-30,286.87066650390625
1988-05-31,297.5400390625
1988-06-30,304.63568115234375
1988-07-31,300.8543701171875
1988-08-31,300.2275085449219
1988-09-30,299.79437255859375
1988-10-31,297.21246337890625
1988-11-30,288.97222900390625
1988-12-31,281.2120666503906
1989-01-31,282.3017578125
1989-02-28,282.328125
1989-03-31,285.24981689453125
1989-04-30,293.313720703125
1989-05-31,299.62493896484375
1989-06-30,299.4793701171875
1989-07-31,302.39697265625
1989-08-31,299.0888366699219
1989-09-30,299.662109375
1989-10-31,296.94403076171875
1989-11-30,288.39898681640625
1989-12-31,281.2210388183594
1990-01-31,278.37744140625
1990-02-28,285.05108642578125
1990-03-31,287.2352294921875
1990-04-30,287.3872375488281
1990-05-31,294.716064453125
1990-06-30,301.50628662109375
1990-07-31,302.0982666015625
1990-08-31,300.6511535644531
1990-09-30,301.78564453125
1990-10-31,298.57135009765625
1990-11-30,288.2267150878906
1990-12-31,280.75048828125
1991-01-31,277.07135009765625
1991-02-28,285.087646484375
1991-03-31,286.8365173339844
1991-04-30,293.46722412109375
1991-05-31,296.06878662109375
1991-06-30,300.2698974609375
1991-07-31,304.52734375
1991-08-31,302.62640380859375
1991-09-30,299.31890869140625
1991-10-31,291.527587890625
1991-11-30,287.27496337890625
1991-12-31,279.9588623046875
1992-01-31,280.16033935546875
1992-02-29,285.7650146484375
1992-03-31,286.9488525390625
1992-04-30,289.03118896484375
1992-05-31,295.11761474609375
1992-06-30,297.496826171875
1992-07-31,302.6156005859375
1992-08-31,300.4398193359375
